@relation arff/1test.arff

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute measure numeric
@attribute dynamics {n,2,3,4,5,6,7,8,9,s,0}
@attribute beats_since_dyn numeric
@attribute dyn_change {n,c,d}
@attribute articulation {l,.,<,-}
@attribute score_vib {0,1}
@attribute ornamt {n,g,t}
@attribute slur {0,1}
@attribute slur_start {0,1}
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric
@attribute perf_onset_s numeric
@attribute perf_dur_s numeric
@attribute local_tempo numeric
@attribute timing_dev numeric
@attribute piece_idx numeric

@data
1.000000,79,0.933807,1,4,0.000000,n,-,0,n,0,0,NaN,NaN,NaN,NaN,1.000000,79,0.933807,0,7,0,1,0,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.000000,3,9,3.684814e+01,1.270833,1.055208,56.860809,0.000000,1
1.000000,79,0.933807,1,4,1.000000,n,-,0,n,0,0,1.000000,79,0.933807,0,0.500000,79,0.466903,0,7,0,1,0,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,0,1,0.0,0.0,0.0,0.0,0.0,10.0,1.000000,1,9,4.676782e+01,2.326042,0.953125,62.950820,0.051042,1
0.500000,79,0.466903,2,4,2.000000,n,l,0,n,1,1,1.000000,79,0.933807,0,0.500000,78,0.466903,-1,7,0,1,0,0.400000,0.200000,0.400000,0.600000,0.400000,0.600000,0.400000,3,7,1,0.0,1.5,1.0,0.0,0.0,10.0,0.000000,3,9,4.965014e+01,3.279167,0.656250,45.714286,0.052083,1
0.500000,78,0.466903,2,4,2.000000,n,l,0,n,1,0,0.500000,79,0.466903,-1,0.500000,76,0.466903,-2,6,11,0,1,0.400000,0.200000,0.400000,0.600000,0.400000,0.600000,0.400000,3,6,0,0.0,1.5,1.0,1.0,1.0,1.0,0.500000,0,9,6.179818e+01,3.941667,0.347917,86.227545,0.186458,1
0.500000,76,0.466903,2,4,3.000000,n,l,0,n,1,1,0.500000,78,0.466903,-2,0.250000,78,0.233452,2,4,9,1,0,0.400000,0.200000,0.400000,0.600000,0.400000,0.600000,0.400000,3,4,1,0.0,0.0,1.0,0.0,2.0,4.2,1.000000,1,9,8.233091e+01,4.359375,0.365625,82.051282,0.128125,1
0.250000,78,0.233452,2,4,3.000000,n,l,0,n,1,0,0.500000,76,0.466903,2,0.250000,79,0.233452,1,6,11,0,1,0.400000,0.200000,0.400000,0.600000,0.400000,0.600000,0.400000,3,6,0,0.0,1.5,1.0,1.0,2.0,4.2,1.500000,0,9,6.038846e+01,4.731250,0.156250,96.000000,0.023958,1
0.250000,79,0.233452,2,4,3.000000,n,l,0,n,1,0,0.250000,78,0.233452,1,0.500000,74,0.466903,-5,7,0,1,0,0.400000,0.200000,0.400000,0.600000,0.400000,0.600000,0.400000,3,7,1,0.0,0.0,1.0,0.0,1.0,1.0,1.750000,0,0,4.999777e+01,4.887500,0.267708,56.031128,-0.057812,1
0.500000,74,0.466903,3,4,4.000000,n,l,0,n,1,1,0.250000,79,0.233452,-5,0.500000,72,0.466903,-2,2,7,1,1,0.333333,0.666667,0.333333,0.333333,0.666667,0.000000,0.666667,1,5,0,0.0,0.0,0.0,1.0,5.0,8.0,0.000000,3,0,6.582668e+01,5.183333,0.493750,60.759494,0.227083,1
0.500000,72,0.466903,3,4,4.000000,n,l,0,n,1,0,0.500000,74,0.466903,-2,3.000000,69,2.801420,-3,0,5,0,0,0.333333,0.666667,0.333333,0.333333,0.666667,0.000000,0.666667,1,3,1,0.0,0.0,1.0,0.0,2.0,4.2,0.500000,0,0,5.304313e+01,5.683333,0.591667,50.704225,0.095052,1
3.000000,69,2.801420,3,4,5.000000,n,l,0,n,0,0,0.500000,72,0.466903,-3,1.000000,83,0.933807,14,9,2,0,1,0.333333,0.666667,0.333333,0.333333,0.666667,0.000000,0.666667,1,0,1,0.0,0.0,1.0,0.0,3.0,6.0,1.000000,1,0,5.123253e+01,6.297917,2.050000,87.804878,0.304688,1
